Player,Age,Team,Estimated Value
Erling Haaland,25,Manchester City,€145.5M
Alexander Isak,26,Liverpool FC,€124.1M
Alexis Mac Allister,27,Liverpool FC,€118M
Florian Wirtz,22,Liverpool FC,€115.3M
Moisés Caicedo,24,Chelsea,€112.2M
Bukayo Saka,24,Arsenal FC,€103.5M
Declan Rice,27,Arsenal FC,€101.3M
Cole Palmer,23,Chelsea,€96.7M
Ryan Gravenberch,23,Liverpool FC,€94.8M
Estêvão,18,Chelsea,€92.1M
Rodri,29,Manchester City,€90.8M
Hugo Ekitiké,23,Liverpool FC,€89.2M
William Saliba,24,Arsenal FC,€89.1M
Enzo Fernández,25,Chelsea,€82.3M
Bruno Guimarães,28,Newcastle United,€80.8M
Josko Gvardiol ,24,Manchester City,€80.2M
Cody Gakpo,26,Liverpool FC,€80M
Xavi Simons,22,Tottenham,€79.9M
Dominik Szoboszlai,25,Liverpool FC,€78.7M
Omar Marmoush,27,Manchester City,€78.5M
Martin Ødegaard,27,Arsenal FC,€76.9M
Phil Foden,25,Manchester City,€76.5M
Nick Woltemade,24,Newcastle United,€76M
Viktor Gyökeres,27,Arsenal FC,€75.1M
Tijjani Reijnders,27,Manchester City,€74.7M
Martín Zubimendi,27,Arsenal FC,€74.5M
Benjamin Sesko,22,Manchester United,€73.7M
Eberechi Eze,27,Arsenal FC,€73.6M
Leny Yoro,20,Manchester United,€72.4M
João Pedro,24,Chelsea,€71.8M
Gabriel Magalhães,28,Arsenal FC,€69.6M
Carlos Baleba,22,Brighton & Hove Albion,€69.6M
Jérémy Doku,23,Manchester City,€67.2M
Savinho,21,Manchester City,€66.6M
Murillo,23,Nottingham Forest,€65.5M
Adam Wharton,22,Crystal Palace,€64.8M
Jurriën Timber,24,Arsenal FC,€64.7M
Micky van de Ven,24,Tottenham,€64.6M
Rayan Cherki,22,Manchester City,€63.9M
Pedro Neto,25,Chelsea,€62.9M
Mohammed Kudus ,25,Tottenham,€62.5M
Antoine Semenyo,26,Manchester City,€62.5M
Bryan Mbeumo,26,Manchester United,€62.1M
Cristian Romero ,27,Tottenham,€62M
Ollie Watkins,30,Aston Villa,€61.1M
Morgan Gibbs-White,26,Nottingham Forest,€61M
Piero Hincapié,24,Arsenal FC,€60.9M
Kai Havertz,26,Arsenal FC,€60.8M
Jeremie Frimpong,25,Liverpool FC,€60.5M
Milos Kerkez,22,Liverpool FC,€59.9M
Morgan Rogers,24,Aston Villa,€59.8M
Dejan Kulusevski  ,25,Tottenham,€59.4M
Jamie Gittens,21,Chelsea,€59.2M
Sandro Tonali,25,Newcastle United,€58.9M
Matheus Cunha,26,Manchester United,€58.9M
Kobbie Mainoo,20,Manchester United,€58.6M
Rico Lewis,21,Manchester City,€56.9M
Alejandro Garnacho,21,Chelsea,€56.7M
Yankuba Minteh,21,Brighton & Hove Albion,€56.7M
Myles Lewis-Skelly,19,Arsenal FC,€56.6M
Levi Colwill,23,Chelsea,€56.4M
Jorrel Hato,19,Chelsea,€56M
Archie Gray,19,Tottenham,€55.9M
Rúben Dias ,28,Manchester City,€55.9M
Nico González,24,Manchester City,€55.5M
Lucas Bergvall ,20,Tottenham,€54.9M
Noni Madueke,23,Arsenal FC,€54.9M
Cristhian Mosquera,21,Arsenal FC,€53.7M
Tino Livramento,23,Newcastle United,€53.4M
Marc Guéhi,25,Manchester City,€52.7M
Boubacar Kamara,26,Aston Villa,€51.8M
Manuel Ugarte,24,Manchester United,€51.7M
Destiny Udogie ,23,Tottenham,€51.7M
Pedro Porro ,26,Tottenham,€51.3M
João Gomes,25,Wolverhampton Wanderers,€51M
Riccardo Calafiori,23,Arsenal FC,€50.7M
Anthony Gordon,25,Newcastle United,€50.7M
Andrey Santos,21,Chelsea,€50.1M
Mathys Tel,20,Tottenham,€49.7M
Tyler Dibling,20,Everton FC,€49.7M
Amad Diallo,23,Manchester United,€49.5M
Mohamed Salah,33,Liverpool FC,€49.1M
Curtis Jones,25,Liverpool FC,€49M
Gabriel Martinelli,24,Arsenal FC,€48.8M
Reece James,26,Chelsea,€48.8M
Liam Delap,23,Chelsea,€48.4M
Dan Ndoye,25,Nottingham Forest,€48.3M
Amadou Onana,24,Aston Villa,€48.2M
Kevin Schade,24,Brentford FC,€48M
Rayan Aït-Nouri,24,Manchester City,€47.9M
Elliot Anderson,23,Nottingham Forest,€47.7M
Jørgen Strand Larsen,26,Crystal Palace,€47.2M
Anthony Elanga,23,Newcastle United,€47M
Matheus Nunes,27,Manchester City,€46.6M
James Maddison  ,29,Tottenham,€46.1M
Trevoh Chalobah,26,Chelsea,€46M
Nico O'Reilly,20,Manchester City,€45.7M
Yéremy Pino,23,Crystal Palace,€45.7M
Matthijs de Ligt,26,Manchester United,€45.3M
Brennan Johnson,24,Crystal Palace,€45.2M
Roméo Lavia,22,Chelsea,€44.9M
Dominic Solanke,28,Tottenham,€44.8M
Abdukodir Khusanov,22,Manchester City,€44.6M
Pape Matar Sarr,23,Tottenham,€44.5M
Jacob Ramsey,24,Newcastle United,€44.3M
Bafodé Diakité,25,Bournemouth,€44.1M
Conor Gallagher,26,Tottenham,€43.6M
Habib Diarra,22,Sunderland AFC,€43.5M
Djed Spence,25,Tottenham,€43.3M
Dilane Bakwa,23,Nottingham Forest,€43.2M
Gianluigi Donnarumma,27,Manchester City,€42.9M
Harvey Barnes,28,Newcastle United,€42.8M
Ismaïla Sarr,28,Crystal Palace,€42.8M
Jarrod Bowen ,29,West Ham United,€42.6M
Bruno Fernandes,31,Manchester United,€42.5M
Sven Botman,26,Newcastle United,€42.5M
Iliman Ndiaye,25,Everton FC,€42.5M
Marc Cucurella,27,Chelsea,€42.2M
Bart Verbruggen,23,Brighton & Hove Albion,€42M
Ben White,28,Arsenal FC,€42M
Mikel Merino,29,Arsenal FC,€41.7M
Maxence Lacroix,25,Crystal Palace,€41.7M
Georginio Rutter,23,Brighton & Hove Albion,€41.7M
Justin Kluivert,26,Bournemouth,€40.8M
Callum Hudson-Odoi,25,Nottingham Forest,€40.3M
Ibrahima Konaté,26,Liverpool FC,€39.9M
James Trafford,23,Manchester City,€39.7M
Antonee Robinson,28,Fulham FC,€39.1M
Harvey Elliott,22,Aston Villa,€39.1M
Yasin Ayari,22,Brighton & Hove Albion,€39M
Conor Bradley,22,Liverpool FC,€38.9M
Michael Kayode,21,Brentford FC,€38.9M
Jean-Philippe Mateta,28,Crystal Palace,€38.7M
Oscar Bobb ,22,Fulham FC,€38.6M
Diogo Dalot,26,Manchester United,€38.5M
Youri Tielemans,28,Aston Villa,€38.4M
Jan Paul van Hecke,25,Brighton & Hove Albion,€38.2M
Patrick Dorgu,21,Manchester United,€38.1M
Mykhaylo Mudryk,25,Chelsea,€37.8M
André,24,Wolverhampton Wanderers,€37.7M
Djordje Petrovic,26,Bournemouth,€37.6M
Mikkel Damsgaard,25,Brentford FC,€37.6M
Dango Ouattara,24,Brentford FC,€37M
Kevin,23,Fulham FC,€36.9M
Sepp van den Berg,24,Brentford FC,€36.9M
Ezri Konsa,28,Aston Villa,€36.3M
Malo Gusto,22,Chelsea,€36.2M
Lisandro Martínez,28,Manchester United,€36.1M
El Hadji Malick Diouf,21,West Ham United,€35.8M
Malick Thiaw,24,Newcastle United,€35.7M
Randal Kolo Muani,27,Tottenham,€35.5M
Joelinton,29,Newcastle United,€35M
Pau Torres,29,Aston Villa,€34.7M
Calvin Bassey,26,Fulham FC,€34.4M
Alex Iwobi,29,Fulham FC,€34.3M
Mason Mount,27,Manchester United,€33.7M
