Player,Team,merge_key
Aaron Ramsdale,Southampton,aaron ramsdale|southampton
Aaron Wan-Bissaka,West Ham United,aaron wan bissaka|west ham united
Abdoulaye Doucouré,Everton,abdoulaye doucoure|everton
Adam Armstrong,Southampton,adam armstrong|southampton
Adam Smith,Bournemouth,adam smith|bournemouth
Adam Wharton,Crystal Palace,adam wharton|crystal palace
Adama Traoré,Fulham,adama traore|fulham
Alejandro Garnacho,Manchester United,alejandro garnacho|manchester united
Alex Iwobi,Fulham,alex iwobi|fulham
Alex Palmer,Ipswich Town,alex palmer|ipswich town
Alexander Isak,Newcastle United,alexander isak|newcastle united
Alexis Mac Allister,Liverpool,alexis mac allister|liverpool
Alisson,Liverpool,alisson|liverpool
Alphonse Areola,West Ham United,alphonse areola|west ham united
Amad Diallo,Manchester United,amad diallo|manchester united
Amadou Onana,Aston Villa,amadou onana|aston villa
Andreas Pereira,Fulham,andreas pereira|fulham
Andrew Robertson,Liverpool,andrew robertson|liverpool
André,Wolverhampton Wanderers,andre|wolverhampton wanderers
André Onana,Manchester United,andre onana|manchester united
Anthony Elanga,Nottingham Forest,anthony elanga|nottingham forest
Anthony Gordon,Newcastle United,anthony gordon|newcastle united
Antoine Semenyo,Bournemouth,antoine semenyo|bournemouth
Antonee Robinson,Fulham,antonee robinson|fulham
Arijanet Muric,Ipswich Town,arijanet muric|ipswich town
Ashley Young,Everton,ashley young|everton
Axel Tuanzebe,Ipswich Town,axel tuanzebe|ipswich town
Bart Verbruggen,Brighton & Hove Albion,bart verbruggen|brighton & hove albion
Ben Johnson,Ipswich Town,ben johnson|ipswich town
Ben White,Arsenal,ben white|arsenal
Bernardo Silva,Manchester City,bernardo silva|manchester city
Bernd Leno,Fulham,bernd leno|fulham
Beto,Everton,beto|everton
Bilal El Khannouss,Leicester City,bilal el khannouss|leicester city
Boubacar Kamara,Aston Villa,boubacar kamara|aston villa
Boubakary Soumaré,Leicester City,boubakary soumare|leicester city
Bruno Fernandes,Manchester United,bruno fernandes|manchester united
Bruno Guimarães,Newcastle United,bruno guimaraes|newcastle united
Bryan Mbeumo,Brentford,bryan mbeumo|brentford
Bukayo Saka,Arsenal,bukayo saka|arsenal
Caleb Okoli,Leicester City,caleb okoli|leicester city
Callum Hudson-Odoi,Nottingham Forest,callum hudson odoi|nottingham forest
Calvin Bassey,Fulham,calvin bassey|fulham
Cameron Archer,Southampton,cameron archer|southampton
Cameron Burgess,Ipswich Town,cameron burgess|ipswich town
Carlos Baleba,Brighton & Hove Albion,carlos baleba|brighton & hove albion
Carlos Soler,West Ham United,carlos soler|west ham united
Casemiro,Manchester United,casemiro|manchester united
Chris Richards,Crystal Palace,chris richards|crystal palace
Chris Wood,Nottingham Forest,chris wood|nottingham forest
Christian Eriksen,Manchester United,christian eriksen|manchester united
Christian Nørgaard,Brentford,christian nørgaard|brentford
Christopher Nkunku,Chelsea,christopher nkunku|chelsea
