Player,Team,Nation,Position,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Playing Time_MP,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG
Aaron Ramsdale,Southampton,eng ENG,GK,26.0,N/a,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,66.0,2.2,182.0,123.0,66.5,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,28.6,30.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,N/a,N/a,0.0
Aaron Wan-Bissaka,West Ham United,cd COD,"DF,MF",26.0,36.0,35,3154.0,35.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,0.06,0.14,0.2,0.06,0.2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,35.0,2.0,16.0,5.0,31.3,0.46,0.14,0.13,0.4,0.0,0.0,0.0,25.0,28.0,5.0,76.0,61.0,49.0,N/a,N/a,1.0
Abdoulaye Doucouré,Everton,ml MLI,MF,31.0,N/a,31,2564.0,28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,0.11,0.07,0.18,0.11,0.18,33.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,28.5,3.0,31.0,10.0,32.3,1.09,0.35,0.1,0.3,0.0,0.0,1.0,49.0,5.0,10.0,23.0,11.0,28.0,N/a,N/a,0.0
Adam Armstrong,Southampton,eng ENG,"FW,MF",27.0,N/a,15,1248.0,13.9,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,0.14,0.14,0.29,0.14,0.29,20.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,13.9,2.0,26.0,9.0,34.6,1.87,0.65,0.08,0.22,0.0,1.0,0.0,12.0,5.0,9.0,14.0,4.0,3.0,N/a,N/a,0.0
Adam Smith,Bournemouth,eng ENG,DF,33.0,N/a,19,1590.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,17.7,0.0,3.0,0.0,0.0,0.17,0.0,0.0,N/a,0.0,0.0,0.0,19.0,12.0,0.0,33.0,15.0,14.0,N/a,N/a,0.0
Adam Wharton,Crystal Palace,eng ENG,MF,20.0,20.0,16,1318.0,14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.14,0.14,0.0,0.14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,14.6,0.0,13.0,5.0,38.5,0.89,0.34,0.0,0.0,0.0,0.0,0.0,12.0,21.0,0.0,39.0,19.0,16.0,N/a,N/a,0.0
Adama Traoré,Fulham,es ESP,MF,28.0,N/a,18,1772.0,19.7,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,0.1,0.36,0.46,0.1,0.46,36.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,19.7,2.0,39.0,12.0,30.8,1.98,0.61,0.05,0.17,0.0,0.0,0.0,24.0,32.0,1.0,100.0,1.0,13.0,N/a,N/a,0.0
Alejandro Garnacho,Manchester United,ar ARG,MF,20.0,36.0,23,2199.0,24.4,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,0.25,0.08,0.33,0.25,0.33,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,24.4,6.0,84.0,30.0,35.7,3.44,1.23,0.07,0.2,0.0,0.0,0.0,12.0,44.0,10.0,55.0,13.0,16.0,N/a,N/a,0.0
Alex Iwobi,Fulham,ng NGA,MF,28.0,N/a,35,2981.0,33.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,0.27,0.18,0.45,0.27,0.45,38.0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,33.1,9.0,68.0,29.0,42.6,2.05,0.88,0.13,0.31,0.0,0.0,0.0,19.0,18.0,5.0,127.0,13.0,26.0,N/a,N/a,0.0
Alex Palmer,Ipswich Town,eng ENG,GK,27.0,13.0,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,2.31,74.0,45.0,60.8,1.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,N/a,N/a,0.0
